,id,name,description,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,polarity,distance,scaled_distance,scaled_number_of_reviews,scaled_polarity,classified,scaled_classified,prediction_classified
0,59258,Lower level of my house to rent,"Lower 1/2 of bungalow, a separate entrance, 1000 sq.ft.  Open layout, a fireplace, hardwood floors, a very large bedroom, spacious living room and a well sized kitchen with a washer, dryer and dishwasher.<br /><br /><b>The space</b><br />B&B in lower level of my house -steps to Ottawa river.  Approximately 1000 sq.ft.  <br />Rates are from $700/week or $1600/month. Price includes all utilities.  <br />Perfect location AND a very large bedroom, huge living room with a fire place and a kitchen with plenty of storage space, on site laundry. There is a private entrance and parking for 2 cars.  <br />i) Living room (27.00 x 12.00) with Hardwood Flooring  <br />ii) Bedroom (17.00x13.00)  - with Hardwood Flooring  <br />iii) Kitchen with Eating area (13.40x10.40) –  New Hardwood Flooring,  fridge and stove, washer and dryer  <br />iv) One Bathroom (3 Piece)  <br />  	 <br />-          Location: between Andrew Hayden Park and Britannia beach, steps from the Ottawa River and bike paths! Close t",45.358999999999995,-75.80314,Entire home/apt,4,1,1,1,200.0,1,0.985,9.620934940142797,0.028026730762096108,0.0,0.9920897615708274,3.0323227462366744,0.6343092374343019,0.6263728405276568
1,158824,DOWNTOWN/GLEBE HOUSE WITH BACKYARD,"Big 3 bedroom house with backyard in desirable neighbourhood within walking distance to TD Place, the Rideau canal, Dows lake. Bus stop accross the street that will take you to parliament buillding, Byward Market and Rideau Centre in 10 minutes.<br /><br /><b>The space</b><br />Big 3 bedroom house located in the trendy Glebe area, parking for 3 cars,  huge backyard with Webber bbq,  internet, satelite tv and laundry. Located in family friendly area with lots of parks, shops and restaurants. No parties responsible adults only. 10 minutes walk to the Rideau Canal . 10 minute bus ride to the Parliament or Rideau Centre/Byward Market.<br /><br /><b>Guest access</b><br />Guest have access to the entire home and private backgard a great place to unwinde and escape the city centre while still being within a 20 minute walk to the dowtown core",45.40248,-75.69941,Entire home/apt,3,1,2,2,140.0,7,0.743,2.194104177712746,0.14667721302805525,0.012765957446808512,0.8563253856942497,2.8750965405856674,0.5985467960555917,0.6464638254098695
2,261065,Westboro Village Executive Suite,"A tastefully decorated and well equipped upper level apartment with a private walk-up entrance and free parking. In the heart of Westboro Village, one of Ottawa's most desirable neighbourhoods—Enjoy a central location without the hassles of downtown.<br /><br /><b>The space</b><br />This ideal executive suite boasts a cozy bedroom and a separate office space, perfect for anyone who needs plenty of space to relax and work. A large open-concept kitchen and dining area connect to a beautiful living room with a gas fireplace and a large sun-drenched deck overlooking a backyard garden.<br /><br />You'll be lulled by the restful ambiance in this home on a calm cul-de-sac, but you'll also be tempted to put on your walking shoes and explore the area. Westboro's trendy village main street, with its coffee shops and specialty boutiques, is just beyond the doorstep! Within a ten minute walk along Richmond Road, there is something for your every mood: find ingredients for a great home-cooked meal ",45.389720000000004,-75.75496,Entire home/apt,4,1,1,1,150.0,64,0.8304,4.537074198785104,0.06730397312020882,0.13404255319148936,0.9053576437587658,2.9847234307082045,0.6234823671666816,0.5755554604181676
3,336692,Quiet Room with a view in the Ottawa Downtown,"Renting only to females. Modern condo with panoramic river view is 5 min walk to the Parliament. Comfortable room has full size bed, desk and closet. Living room, well equipped kitchen and bathroom are shared. Plenty of walks and bike paths around. My place is close to music festivals, NAC, museums, Little Italy, Byward Market, and Chinatown. I share knowledge about museums, concerts, parks and cultural events in our cosy capital. The room can be also rented monthly. Nespresso morning coffee.<br /><br /><b>The space</b><br />Enjoy all the events of the downtown life: concerts, festivals, historical places, canal, biking, Chinatown, Little Italy, yoga and much more of our unique and exciting Ottawa! <br /><br />One bedroom available in this two bedroom condo on the 15th floor of a modern building. The apartment is very clean and well maintained and has a large balcony with a beautiful view of the river and downtown. <br /><br />Located just a 5 min walk from Parliament Hill, the famous ",45.41557,-75.70551,Private room,5,1,1,1,69.0,9,0.9537,0.8131446873734909,0.4077107860669048,0.01702127659574468,0.9745301542776998,3.756033311562654,0.7989233776818429,0.819942590378764
4,413300,Loft-style 2 BR in ByWard Market,"Welcome to your home away from home, 2 bedrooms on a quiet tree-lined street just steps to all the action of the ByWard Market, National Gallery, and easy access to embassies, shopping, Parliament, Rideau Centre, and Rideau Station on the O-Train LRT. Excellent coffee, local brunch place and fiery Caribbean chicken all at the end of the block!<br /><br /><b>The space</b><br />The open main living/dining/kitchen area makes it easy to have friends over for dinner or drinks, and 2 private bedrooms with a luxe bathroom make it easy to get the relaxation and restoration you need.<br /><br /><b>Guest access</b><br />You'll have the whole loft-style flat to yourself, easy access from the main floor porch.<br /><br /><b>Other things to note</b><br />This is a unique, century old home - with all the quirks that come with it - this isn't a new build, and I really live here most of the time, so please note you'll be in a home, not an exclusively guest space.",45.43399,-75.69105,Entire home/apt,4,1,2,2,90.0,44,0.9599,2.483611816386788,0.12876044925699956,0.09148936170212764,0.978008415147265,3.2830355056579217,0.691335992767945,0.6876189056625674
5,674799,"Half-basement apt. guest private entrance, 3-bdrm","GREAT for a family or a group.<br /><br />Return single traveller can ask for better price.<br /><br />Half-basement apartment with guest private entrance, kitchen, bathroom, eating & living areas, 3 bedrooms, 3 queen beds, plus 1 single bed & 1 futon of double size.<br /><br />Safe & quiet neighborhood; Buses nearby, driveway parking for 2 cars, and street parking. Internet included. <br /><br />No party, no smoke in the Apt. No breakfast provided.<br /><br />You are more than welcome to introduce yourself.<br /><br /><b>The space</b><br />Located in a very safe neighborhood circled by friendly neighbors. Enclosed by bus service of the city of Ottawa, conveniently within walking distance, bus (#277) is less than 5 min walking, #80, #99 less than 10 min, #94  is about 13 min walking. All buses go to downtown, Algonquin College. Easy highway access, especially when you use the highway 416 (about 10 min driving). Free driveway parking.<br />Newly designed, modern house, clean and beautif",45.26725,-75.72269,Private room,7,1,3,5,48.0,42,0.9812,16.882466017037412,0.012949709730079315,0.08723404255319149,0.9899579242636746,3.083007234804374,0.6458378566215872,0.6263728405276568
6,678641,Lovely private bed/bath -Centretown (private home),"Perfect for those traveling on business or pleasure who want to treat themselves to the comforts of home with access to all that downtown has to offer!  Centrally located within walking distance to Glebe, Little Italy, parliament, museums, and more!<br /><br /><b>The space</b><br />This centrally located suite is perfect for a single or couple who want to treat themselves to the comforts of home with access to all that downtown has to offer! Just steps to great cafes and restaurants in the Glebe, Little Italy, Chinatown, and a short walk or bus to Parliament, Byward Market, Museums, Galleries, the Rideau Canal, Dow's Lake, Convention Centre, Universities, etc. <br /><br />We offer a large, bright, private bedroom with a double bed, desk, sitting area, a closet and large dresser. Guests also have their own private bathroom with double sinks and a shower-bath. Wireless internet and free onsite parking is available. Please specify your needs for parking, laundry, use of our kitchen facili",45.4082,-75.69908000000002,Private room,2,1,1,0,65.0,126,0.6597,1.7143731744056196,0.18968783092970096,0.26595744680851063,0.8095932678821879,3.074112912314476,0.6438147671160479,0.6173468214242869
7,682632,"Adorable 2 bdrm, Central Ottawa PD1","This an adorable property with two bedrooms, full bathroom, kitchen with island bar and dining table, living room, summer sun room, backyard patio and deck and garden. A lovely boutique property at 800 sq feet suits a couple perfectly:)<br /><br />We prefer guests who have Airbnb references.<br /><br /><b>The space</b><br />At 800 square feet this unit has two bedrooms, a full bathroom, eat-in kitchen, living room, sun room, back deck with flagstone patio, BBQ and front porch.  All utilities are included in the rental fee, and unlimited high speed wireless internet, large flat screen cable tv, etc. Parking for one car also included as well as washer and dryer. <br /><br />The rooms are beautifully furnished and tastefully designed for your comfort. As with other Forbes properties there are premium bed and bath linens, pillow top mattresses, custom designed headboards, window treatments, artwork and a fully stocked kitchen (dishes, glassware, cutlery and small appliances).<br /><br />St",45.40269,-75.73023,Entire home/apt,4,1,2,2,83.0,6,0.7490000000000001,2.18934445441018,0.1470113702633792,0.010638297872340429,0.8596914446002806,2.8837353721999404,0.6005117719825167,0.6464638254098695
8,685334,Family Home in Ottawa's Hintonburg,"Our classic renovated home is one half of a duplex, on a quiet street, close to downtown and Parliament Hill. Enjoy our peaceful shared outdoor garden and patio.<br /><br />Walking distance to the Rosemount library, the Marche grocery store, Parkdale Farmer's Market, many parks and splashpads, restaurants, shopping, festivals, river walking/biking path, Rideau canal, Little Italy, Chinatown. <br /><br />Biking distance to downtown and Parliament Hill, which is a 10-15 minute direct bus ride.<br /><br /><b>The space</b><br />This is our family home, and we're out of town! We hope you enjoy your stay.<br /><br />Recently-renovated bright kitchen. Large open-concept dining/living room with minimal furniture where you can breathe and relax.<br /><br />It's one half of a duplex, and our next door neighbours are amazing and considerate.<br /><br />Wifi available on site, and a PS3 with Netflix and DVD/BluRay player on the main floor.  <br /><br />1 master bedroom w/King size bed, 1 kids' bed",45.39946,-75.72498,Entire home/apt,6,1,2,4,239.0,4,0.941,2.3224662168629084,0.13818207459623402,0.006382978723404256,0.967405329593268,3.1849631166956764,0.6690285914883041,0.6876189056625674
9,764035,1Bedroom + Den Luxury Condo DOWNTOWN Parliament,"* WITH A 12+ MONTH RENTAL: SPECIAL RATE 1850 CAD/MONTH (plus Airbnb fee and cleaning fee) .  + 150 cad/month for underground heated parking.<br /><br />Condo is a 1 Bed plus Den and  1Bath. It's a few minutes walk to the Rideau Canal, Downtown, the By Market, Ottawa university (5 minute walk), the Parliament, and many parks. Great for sightseeing & museums lovers!<br /><br /><b>The space</b><br />Address: 238 Besserer, Ottawa, Ontario. K1N 6B1<br /><br />500 metres (0.3 mile) to Ottawa Convention Center.<br /><br />Even if the calendar shows no vacancy, please do contact me in case of people cancellation. <br /><br />****************************************************************<br /><br />Hello all, Bonjour à vous, Hola,<br /><br />Welcome to my luxury condo with air-conditioned and heated underground parking. It has 600 sq. feet. The condo faces east so plenty of sunlight. Pool, sauna, BBQ, gym, rooms’ access is included. The condo has 1 bedroom ( 1 QUEEN) size bed with 1 full bath",45.429109999999994,-75.68606,Entire home/apt,2,1,1,1,60.0,39,0.8658,2.501324143303701,0.12779892016391187,0.08085106382978723,0.9252173913043478,3.112101078070654,0.6524554993992883,0.6464638254098695
